year,qtr,state,cnty,own,naics,naics3,naics4,naics5,naics_sector,super_sector,m1emp,m2emp,m3emp,wage,can_agg,rectype,filenumber,primary_key
2016,1,34,001,5,115115,115,1151,11511,11,1011,15,32,49,59,Y,C,2,187745
2016,1,34,001,5,115115,115,1151,11511,11,1011,30,50,69,79,Y,C,2,187746
2016,1,34,001,5,115116,115,1151,11511,11,1011,1,5,7,17,Y,C,2,187747
2016,1,34,001,5,221112,221,2211,22111,22,1021,28,23,19,29,Y,C,2,187748
2016,1,34,001,5,221122,221,2211,22112,22,1021,74,73,72,82,Y,C,2,187749
2016,1,34,001,5,221122,221,2211,22112,22,1021,25,22,18,28,Y,C,2,187750
2016,1,34,001,5,221122,221,2211,22112,22,1021,91,88,83,93,Y,C,2,187751
2016,1,34,001,5,221122,221,2211,22112,22,1021,54,50,46,56,Y,C,2,187752
2016,1,34,001,5,221122,221,2211,22112,22,1021,95,87,80,90,Y,C,2,187753
2016,1,34,001,5,221122,221,2211,22112,22,1021,80,77,74,84,Y,C,2,187754
2016,1,34,001,5,221310,221,2213,22131,22,1021,12,15,17,27,Y,C,2,187755
2016,1,34,001,5,221310,221,2213,22131,22,1021,22,31,41,51,Y,C,2,187756
2016,1,34,001,5,221320,221,2213,22132,22,1021,25,31,36,46,Y,C,2,187757
2016,1,34,001,5,221330,221,2213,22133,22,1021,15,19,19,29,Y,C,2,187758
2016,1,34,001,5,236115,236,2361,23611,23,1012,5,5,5,15,Y,C,2,187759
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187760
2016,1,34,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,2,187761
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,3,3,13,Y,C,2,187762
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,4,4,14,Y,C,2,187763
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,3,3,13,Y,C,2,187764
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187765
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,3,13,Y,C,2,187766
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187767
2016,1,34,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,2,187768
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,5,3,13,Y,C,2,187769
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,4,5,15,Y,C,2,187770
2016,1,34,001,5,236115,236,2361,23611,23,1012,6,6,7,17,Y,C,2,187771
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,3,13,Y,C,2,187772
2016,1,34,001,5,236115,236,2361,23611,23,1012,6,6,6,16,Y,C,2,187773
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187774
2016,1,34,001,5,236115,236,2361,23611,23,1012,5,5,5,15,Y,C,2,187775
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,4,4,14,Y,C,2,187776
2016,1,34,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,2,187777
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187778
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,4,6,16,Y,C,2,187779
2016,1,34,001,5,236115,236,2361,23611,23,1012,6,7,6,16,Y,C,2,187780
2016,1,34,001,5,236115,236,2361,23611,23,1012,4,4,4,14,Y,C,2,187781
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,1,11,Y,C,2,187782
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187783
2016,1,34,001,5,236115,236,2361,23611,23,1012,2,2,2,12,Y,C,2,187784
