year,qtr,state,cnty,own,naics,naics3,naics4,naics5,naics_sector,super_sector,m1emp,m2emp,m3emp,wage,can_agg,rectype,filenumber,primary_key
2016,1,39,001,5,221112,221,2211,22111,22,1021,64,80,99,109,Y,C,3,421113
2016,1,39,001,5,221122,221,2211,22112,22,1021,10,15,19,29,Y,C,3,421114
2016,1,39,001,5,236115,236,2361,23611,23,1012,4,3,3,13,Y,C,3,421115
2016,1,39,001,5,236115,236,2361,23611,23,1012,2,2,1,11,Y,C,3,421116
2016,1,39,001,5,236115,236,2361,23611,23,1012,2,1,1,11,Y,C,3,421117
2016,1,39,001,5,236115,236,2361,23611,23,1012,3,3,3,13,Y,C,3,421118
2016,1,39,001,5,236118,236,2361,23611,23,1012,1,1,1,11,Y,C,3,421119
2016,1,39,001,5,236118,236,2361,23611,23,1012,2,1,2,12,Y,C,3,421120
2016,1,39,001,5,236118,236,2361,23611,23,1012,1,1,2,12,Y,C,3,421121
2016,1,39,001,5,238110,238,2381,23811,23,1012,6,9,9,19,Y,C,3,421122
2016,1,39,001,5,238130,238,2381,23813,23,1012,1,2,0,10,Y,C,3,421123
2016,1,39,001,5,238160,238,2381,23816,23,1012,0,0,1,11,Y,C,3,421124
2016,1,39,001,5,238190,238,2381,23819,23,1012,3,4,1,11,Y,C,3,421125
2016,1,39,001,5,238210,238,2382,23821,23,1012,1,1,1,11,Y,C,3,421126
2016,1,39,001,5,238210,238,2382,23821,23,1012,2,2,1,11,Y,C,3,421127
2016,1,39,001,5,238210,238,2382,23821,23,1012,2,2,2,12,Y,C,3,421128
2016,1,39,001,5,238220,238,2382,23822,23,1012,3,6,8,18,Y,C,3,421129
2016,1,39,001,5,238220,238,2382,23822,23,1012,1,3,4,14,Y,C,3,421130
2016,1,39,001,5,238220,238,2382,23822,23,1012,4,5,9,19,Y,C,3,421131
2016,1,39,001,5,238310,238,2383,23831,23,1012,2,3,3,13,Y,C,3,421132
2016,1,39,001,5,238310,238,2383,23831,23,1012,1,1,1,11,Y,C,3,421133
2016,1,39,001,5,238310,238,2383,23831,23,1012,2,3,4,14,Y,C,3,421134
2016,1,39,001,5,238340,238,2383,23834,23,1012,1,0,0,10,Y,C,3,421135
2016,1,39,001,5,238350,238,2383,23835,23,1012,2,4,5,15,Y,C,3,421136
2016,1,39,001,5,238350,238,2383,23835,23,1012,1,2,4,14,Y,C,3,421137
2016,1,39,001,5,238390,238,2383,23839,23,1012,14,28,46,56,Y,C,3,421138
2016,1,39,001,5,238910,238,2389,23891,23,1012,12,9,7,17,Y,C,3,421139
2016,1,39,001,5,238910,238,2389,23891,23,1012,2,2,2,12,Y,C,3,421140
2016,1,39,001,5,238910,238,2389,23891,23,1012,7,6,5,15,Y,C,3,421141
2016,1,39,001,5,238990,238,2389,23899,23,1012,1,1,1,11,Y,C,3,421142
2016,1,39,001,5,238990,238,2389,23899,23,1012,0,1,1,11,Y,C,3,421143
2016,1,39,001,5,238990,238,2389,23899,23,1012,0,0,1,11,Y,C,3,421144
2016,1,39,001,5,238990,238,2389,23899,23,1012,1,2,2,12,Y,C,3,421145
2016,1,39,001,5,321920,321,3219,32192,32,1013,6,9,14,24,Y,C,3,421146
2016,1,39,001,5,321920,321,3219,32192,32,1013,6,6,8,18,Y,C,3,421147
2016,1,39,001,5,321920,321,3219,32192,32,1013,7,7,10,20,Y,C,3,421148
2016,1,39,001,5,321920,321,3219,32192,32,1013,17,18,21,31,Y,C,3,421149
2016,1,39,001,5,321999,321,3219,32199,32,1013,3,3,4,14,Y,C,3,421150
2016,1,39,001,5,321999,321,3219,32199,32,1013,4,5,5,15,Y,C,3,421151
2016,1,39,001,5,321999,321,3219,32199,32,1013,6,9,10,20,Y,C,3,421152
2016,1,39,001,5,326121,326,3261,32612,32,1013,12,12,9,19,Y,C,3,421153
2016,1,39,001,5,326199,326,3261,32619,32,1013,35,28,19,29,Y,C,3,421154
2016,1,39,001,5,332710,332,3327,33271,33,1013,4,5,5,15,Y,C,3,421155
2016,1,39,001,5,332710,332,3327,33271,33,1013,6,6,5,15,Y,C,3,421156
2016,1,39,001,5,332721,332,3327,33272,33,1013,5,8,9,19,Y,C,3,421157
2016,1,39,001,5,423310,423,4233,42331,42,1021,8,9,9,19,Y,C,3,421158
2016,1,39,001,5,423320,423,4233,42332,42,1021,12,10,9,19,Y,C,3,421159
2016,1,39,001,5,423820,423,4238,42382,42,1021,31,42,56,66,Y,C,3,421160
2016,1,39,001,5,423830,423,4238,42383,42,1021,1,0,0,10,Y,C,3,421161
2016,1,39,001,5,441110,441,4411,44111,44,1021,10,12,13,23,Y,C,3,421162
2016,1,39,001,5,441110,441,4411,44111,44,1021,40,39,38,48,Y,C,3,421163
2016,1,39,001,5,441120,441,4411,44112,44,1021,0,0,0,10,Y,C,3,421164
2016,1,39,001,5,441120,441,4411,44112,44,1021,0,0,0,10,Y,C,3,421165
2016,1,39,001,5,441310,441,4413,44131,44,1021,11,10,8,18,Y,C,3,421166
2016,1,39,001,5,441310,441,4413,44131,44,1021,11,10,10,20,Y,C,3,421167
2016,1,39,001,5,441310,441,4413,44131,44,1021,11,12,13,23,Y,C,3,421168
2016,1,39,001,5,441310,441,4413,44131,44,1021,14,15,17,27,Y,C,3,421169
2016,1,39,001,5,441320,441,4413,44132,44,1021,4,5,5,15,Y,C,3,421170
2016,1,39,001,5,441320,441,4413,44132,44,1021,2,2,2,12,Y,C,3,421171
2016,1,39,001,5,444130,444,4441,44413,44,1021,4,4,3,13,Y,C,3,421172
2016,1,39,001,5,444130,444,4441,44413,44,1021,1,1,2,12,Y,C,3,421173
2016,1,39,001,5,444130,444,4441,44413,44,1021,2,2,2,12,Y,C,3,421174
2016,1,39,001,5,444190,444,4441,44419,44,1021,9,8,8,18,Y,C,3,421175
2016,1,39,001,5,444190,444,4441,44419,44,1021,13,11,13,23,Y,C,3,421176
2016,1,39,001,5,444190,444,4441,44419,44,1021,10,11,10,20,Y,C,3,421177
2016,1,39,001,5,444190,444,4441,44419,44,1021,8,8,9,19,Y,C,3,421178
2016,1,39,001,5,444210,444,4442,44421,44,1021,3,3,2,12,Y,C,3,421179
2016,1,39,001,5,444220,444,4442,44422,44,1021,12,10,4,14,Y,C,3,421180
2016,1,39,001,5,444220,444,4442,44422,44,1021,16,14,8,18,Y,C,3,421181
2016,1,39,001,5,444220,444,4442,44422,44,1021,19,15,8,18,Y,C,3,421182
2016,1,39,001,5,444220,444,4442,44422,44,1021,16,12,8,18,Y,C,3,421183
2016,1,39,001,5,444220,444,4442,44422,44,1021,36,24,15,25,Y,C,3,421184
2016,1,39,001,5,444220,444,4442,44422,44,1021,44,32,19,29,Y,C,3,421185
2016,1,39,001,5,445110,445,4451,44511,44,1021,19,19,20,30,Y,C,3,421186
2016,1,39,001,5,445110,445,4451,44511,44,1021,32,27,23,33,Y,C,3,421187
2016,1,39,001,5,445110,445,4451,44511,44,1021,27,27,28,38,Y,C,3,421188
2016,1,39,001,5,445120,445,4451,44512,44,1021,7,5,3,13,Y,C,3,421189
2016,1,39,001,5,445120,445,4451,44512,44,1021,4,3,2,12,Y,C,3,421190
2016,1,39,001,5,445120,445,4451,44512,44,1021,6,2,3,13,Y,C,3,421191
2016,1,39,001,5,446110,446,4461,44611,44,1021,8,7,5,15,Y,C,3,421192
2016,1,39,001,5,446110,446,4461,44611,44,1021,7,7,6,16,Y,C,3,421193
2016,1,39,001,5,446110,446,4461,44611,44,1021,29,23,17,27,Y,C,3,421194
2016,1,39,001,5,446110,446,4461,44611,44,1021,3,4,2,12,Y,C,3,421195
2016,1,39,001,5,446110,446,4461,44611,44,1021,17,11,9,19,Y,C,3,421196
2016,1,39,001,5,446110,446,4461,44611,44,1021,7,5,4,14,Y,C,3,421197
2016,1,39,001,5,446191,446,4461,44619,44,1021,4,3,2,12,Y,C,3,421198
2016,1,39,001,5,446199,446,4461,44619,44,1021,21,21,23,33,Y,C,3,421199
2016,1,39,001,5,452910,452,4529,45291,45,1021,207,234,259,269,Y,C,3,421200
2016,1,39,001,5,452990,452,4529,45299,45,1021,3,3,3,13,Y,C,3,421201
2016,1,39,001,5,452990,452,4529,45299,45,1021,5,6,7,17,Y,C,3,421202
2016,1,39,001,5,452990,452,4529,45299,45,1021,8,6,7,17,Y,C,3,421203
2016,1,39,001,5,452990,452,4529,45299,45,1021,14,13,12,22,Y,C,3,421204
2016,1,39,001,5,452990,452,4529,45299,45,1021,4,4,4,14,Y,C,3,421205
2016,1,39,001,5,452990,452,4529,45299,45,1021,4,4,3,13,Y,C,3,421206
2016,1,39,001,5,452990,452,4529,45299,45,1021,6,8,7,17,Y,C,3,421207
2016,1,39,001,5,452990,452,4529,45299,45,1021,4,5,4,14,Y,C,3,421208
2016,1,39,001,5,452990,452,4529,45299,45,1021,5,6,6,16,Y,C,3,421209
2016,1,39,001,5,452990,452,4529,45299,45,1021,4,3,3,13,Y,C,3,421210
2016,1,39,001,5,452990,452,4529,45299,45,1021,8,6,5,15,Y,C,3,421211
2016,1,39,001,5,454310,454,4543,45431,45,1021,18,10,4,14,Y,C,3,421212
2016,1,39,001,5,454310,454,4543,45431,45,1021,33,18,5,15,Y,C,3,421213
2016,1,39,001,5,454390,454,4543,45439,45,1021,0,0,0,10,Y,C,3,421214
2016,1,39,001,5,454390,454,4543,45439,45,1021,0,0,0,10,Y,C,3,421215
2016,1,39,001,5,484110,484,4841,48411,48,1021,1,1,1,11,Y,C,3,421216
