year,qtr,state,cnty,own,naics,naics3,naics4,naics5,naics_sector,super_sector,m1emp,m2emp,m3emp,wage,can_agg,rectype,filenumber,primary_key
2016,1,01,001,5,212319,212,2123,21231,21,1011,26,31,37,47,Y,C,1,1
2016,1,01,001,5,212321,212,2123,21232,21,1011,10,10,10,20,Y,C,1,2
2016,1,01,001,5,212321,212,2123,21232,21,1011,41,40,40,50,Y,C,1,3
2016,1,01,001,5,221112,221,2211,22111,22,1021,10,11,12,22,Y,C,1,4
2016,1,01,001,5,221112,221,2211,22111,22,1021,28,31,33,43,Y,C,1,5
2016,1,01,001,5,221112,221,2211,22111,22,1021,25,24,26,36,Y,C,1,6
2016,1,01,001,5,221112,221,2211,22111,22,1021,14,18,19,29,Y,C,1,7
2016,1,01,001,5,221112,221,2211,22111,22,1021,8,9,9,19,Y,C,1,8
2016,1,01,001,5,221122,221,2211,22112,22,1021,26,24,23,33,Y,C,1,9
2016,1,01,001,5,221122,221,2211,22112,22,1021,51,50,49,59,Y,C,1,10
2016,1,01,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,1,11
2016,1,01,001,5,236115,236,2361,23611,23,1012,4,4,3,13,Y,C,1,12
2016,1,01,001,5,236115,236,2361,23611,23,1012,3,3,3,13,Y,C,1,13
2016,1,01,001,5,236115,236,2361,23611,23,1012,3,3,3,13,Y,C,1,14
2016,1,01,001,5,236115,236,2361,23611,23,1012,4,4,4,14,Y,C,1,15
2016,1,01,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,1,16
2016,1,01,001,5,236117,236,2361,23611,23,1012,1,1,2,12,Y,C,1,17
2016,1,01,001,5,236118,236,2361,23611,23,1012,1,1,1,11,Y,C,1,18
2016,1,01,001,5,236118,236,2361,23611,23,1012,1,1,3,13,Y,C,1,19
2016,1,01,001,5,236118,236,2361,23611,23,1012,1,1,2,12,Y,C,1,20
2016,1,01,001,5,236118,236,2361,23611,23,1012,1,0,0,10,Y,C,1,21
2016,1,01,001,5,236118,236,2361,23611,23,1012,0,0,1,11,Y,C,1,22
2016,1,01,001,5,236118,236,2361,23611,23,1012,2,1,4,14,Y,C,1,23
2016,1,01,001,5,236118,236,2361,23611,23,1012,0,0,2,12,Y,C,1,24
2016,1,01,001,5,236210,236,2362,23621,23,1012,8,9,13,23,Y,C,1,25
2016,1,01,001,5,236210,236,2362,23621,23,1012,11,21,31,41,Y,C,1,26
2016,1,01,001,5,236220,236,2362,23622,23,1012,3,5,11,21,Y,C,1,27
2016,1,01,001,5,236220,236,2362,23622,23,1012,2,3,6,16,Y,C,1,28
2016,1,01,001,5,236220,236,2362,23622,23,1012,2,4,7,17,Y,C,1,29
2016,1,01,001,5,236220,236,2362,23622,23,1012,2,7,8,18,Y,C,1,30
2016,1,01,001,5,237110,237,2371,23711,23,1012,7,5,3,13,Y,C,1,31
2016,1,01,001,5,237110,237,2371,23711,23,1012,16,11,7,17,Y,C,1,32
2016,1,01,001,5,237130,237,2371,23713,23,1012,9,9,9,19,Y,C,1,33
2016,1,01,001,5,238110,238,2381,23811,23,1012,11,9,8,18,Y,C,1,34
2016,1,01,001,5,238110,238,2381,23811,23,1012,2,2,2,12,Y,C,1,35
2016,1,01,001,5,238110,238,2381,23811,23,1012,3,3,4,14,Y,C,1,36
2016,1,01,001,5,238120,238,2381,23812,23,1012,9,9,9,19,Y,C,1,37
2016,1,01,001,5,238130,238,2381,23813,23,1012,4,9,9,19,Y,C,1,38
2016,1,01,001,5,238140,238,2381,23814,23,1012,1,2,3,13,Y,C,1,39
2016,1,01,001,5,238160,238,2381,23816,23,1012,5,6,6,16,Y,C,1,40
2016,1,01,001,5,238160,238,2381,23816,23,1012,3,3,3,13,Y,C,1,41
2016,1,01,001,5,238170,238,2381,23817,23,1012,1,3,0,10,Y,C,1,42
2016,1,01,001,5,238190,238,2381,23819,23,1012,1,1,3,13,Y,C,1,43
2016,1,01,001,5,238210,238,2382,23821,23,1012,6,7,8,18,Y,C,1,44
2016,1,01,001,5,238210,238,2382,23821,23,1012,18,19,21,31,Y,C,1,45
2016,1,01,001,5,238210,238,2382,23821,23,1012,8,7,7,17,Y,C,1,46
2016,1,01,001,5,238210,238,2382,23821,23,1012,5,4,7,17,Y,C,1,47
2016,1,01,001,5,238210,238,2382,23821,23,1012,6,6,5,15,Y,C,1,48
2016,1,01,001,5,238210,238,2382,23821,23,1012,11,12,14,24,Y,C,1,49
2016,1,01,001,5,238210,238,2382,23821,23,1012,12,12,12,22,Y,C,1,50
2016,1,01,001,5,238210,238,2382,23821,23,1012,11,11,12,22,Y,C,1,51
2016,1,01,001,5,238220,238,2382,23822,23,1012,2,2,2,12,Y,C,1,52
2016,1,01,001,5,238220,238,2382,23822,23,1012,2,2,1,11,Y,C,1,53
2016,1,01,001,5,238220,238,2382,23822,23,1012,2,3,4,14,Y,C,1,54
2016,1,01,001,5,238220,238,2382,23822,23,1012,6,8,7,17,Y,C,1,55
2016,1,01,001,5,238220,238,2382,23822,23,1012,2,4,3,13,Y,C,1,56
2016,1,01,001,5,238220,238,2382,23822,23,1012,3,4,4,14,Y,C,1,57
2016,1,01,001,5,238220,238,2382,23822,23,1012,1,3,2,12,Y,C,1,58
2016,1,01,001,5,238220,238,2382,23822,23,1012,3,3,3,13,Y,C,1,59
2016,1,01,001,5,238220,238,2382,23822,23,1012,4,5,5,15,Y,C,1,60
2016,1,01,001,5,238220,238,2382,23822,23,1012,2,3,3,13,Y,C,1,61
2016,1,01,001,5,238290,238,2382,23829,23,1012,3,4,4,14,Y,C,1,62
