year,qtr,state,cnty,own,naics,naics3,naics4,naics5,naics_sector,super_sector,m1emp,m2emp,m3emp,wage,can_agg,rectype,filenumber,primary_key
2016,1,18,001,5,212312,212,2123,21231,21,1011,17,14,9,19,Y,C,1,75208
2016,1,18,001,5,212312,212,2123,21231,21,1011,30,24,19,29,Y,C,1,75209
2016,1,18,001,5,212321,212,2123,21232,21,1011,14,11,9,19,Y,C,1,75210
2016,1,18,001,5,236115,236,2361,23611,23,1012,7,7,6,16,Y,C,1,75211
2016,1,18,001,5,236115,236,2361,23611,23,1012,2,3,3,13,Y,C,1,75212
2016,1,18,001,5,236115,236,2361,23611,23,1012,1,1,1,11,Y,C,1,75213
2016,1,18,001,5,236115,236,2361,23611,23,1012,13,13,13,23,Y,C,1,75214
2016,1,18,001,5,236117,236,2361,23611,23,1012,10,15,21,31,Y,C,1,75215
2016,1,18,001,5,236118,236,2361,23611,23,1012,6,7,10,20,Y,C,1,75216
2016,1,18,001,5,236118,236,2361,23611,23,1012,4,3,3,13,Y,C,1,75217
2016,1,18,001,5,236118,236,2361,23611,23,1012,2,2,2,12,Y,C,1,75218
2016,1,18,001,5,236118,236,2361,23611,23,1012,2,3,3,13,Y,C,1,75219
2016,1,18,001,5,236118,236,2361,23611,23,1012,6,5,6,16,Y,C,1,75220
2016,1,18,001,5,236118,236,2361,23611,23,1012,5,4,6,16,Y,C,1,75221
2016,1,18,001,5,236118,236,2361,23611,23,1012,5,5,5,15,Y,C,1,75222
2016,1,18,001,5,236118,236,2361,23611,23,1012,3,4,6,16,Y,C,1,75223
2016,1,18,001,5,236118,236,2361,23611,23,1012,10,11,11,21,Y,C,1,75224
2016,1,18,001,5,236118,236,2361,23611,23,1012,4,3,4,14,Y,C,1,75225
2016,1,18,001,5,236118,236,2361,23611,23,1012,1,2,2,12,Y,C,1,75226
2016,1,18,001,5,236118,236,2361,23611,23,1012,4,4,6,16,Y,C,1,75227
2016,1,18,001,5,236118,236,2361,23611,23,1012,4,4,5,15,Y,C,1,75228
2016,1,18,001,5,238110,238,2381,23811,23,1012,7,9,9,19,Y,C,1,75229
2016,1,18,001,5,238130,238,2381,23813,23,1012,6,6,6,16,Y,C,1,75230
2016,1,18,001,5,238170,238,2381,23817,23,1012,9,9,9,19,Y,C,1,75231
2016,1,18,001,5,238210,238,2382,23821,23,1012,5,6,7,17,Y,C,1,75232
2016,1,18,001,5,238210,238,2382,23821,23,1012,5,6,7,17,Y,C,1,75233
2016,1,18,001,5,238210,238,2382,23821,23,1012,2,1,3,13,Y,C,1,75234
2016,1,18,001,5,238210,238,2382,23821,23,1012,4,5,6,16,Y,C,1,75235
2016,1,18,001,5,238210,238,2382,23821,23,1012,3,3,3,13,Y,C,1,75236
2016,1,18,001,5,238210,238,2382,23821,23,1012,1,1,1,11,Y,C,1,75237
2016,1,18,001,5,238210,238,2382,23821,23,1012,4,4,5,15,Y,C,1,75238
2016,1,18,001,5,238210,238,2382,23821,23,1012,1,1,2,12,Y,C,1,75239
2016,1,18,001,5,238210,238,2382,23821,23,1012,7,9,10,20,Y,C,1,75240
2016,1,18,001,5,238220,238,2382,23822,23,1012,5,5,7,17,Y,C,1,75241
